w         x         y         z
A         0         0         0
A         0         0         0
A         0         0         0
A         0         0         0
A         10         0         0
A         0         0         0
A         1         0         0
A         1         0         0
A         1         25         0
A         1         25         0
A         1         26         0
A         1         26         0
A         1         0         0
A         1         A         0
A         1         A+2         0
A         1         A+2         0
A         1         A+2         A+2
B         1         A+2         A+2
B         0         A+2         A+2
B         A+2         A+2         A+2
B         0         A+2         A+2
B         0         A+2         A+2
B         14         A+2         A+2
B         0         A+2         A+2
B         1         A+2         A+2
B         1         0         A+2
B         1         25         A+2
B         1         25         A+2
B         1         26         A+2
B         1         26         26*(A+2)
B         1         0         26*(A+2)
B         1         B         26*(A+2)
B         1         B+13         26*(A+2)
B         1         B+13         26*(A+2)
B         1         B+13         26*(A+2) + B + 13
C         1         B+13         26*(A+2) + B + 13
C         0         B+13         26*(A+2) + B + 13
C         26*(A+2) + B + 13         B+13         26*(A+2) + B + 13
C         B + 13         B+13         26*(A+2) + B + 13
C         B + 13         B+13         26*(A+2) + B + 13
C         B + 27         B+13         26*(A+2) + B + 13
C         0         B+13         26*(A+2) + B + 13
C         1         B+13         26*(A+2) + B + 13
C         1         0         26*(A+2) + B + 13
C         1         25         26*(A+2) + B + 13
C         1         25         26*(A+2) + B + 13
C         1         26         26*(A+2) + B + 13
C         1         26         26*(26*(A+2) + B + 13)
C         1         0         26*(26*(A+2) + B + 13)
C         1         C         26*(26*(A+2) + B + 13)
C         1         C+13         26*(26*(A+2) + B + 13)
C         1         C+13         26*(26*(A+2) + B + 13)
C         1         C+13         26*(26*(A+2) + B + 13) + C + 13
D         1         C+13         26*(26*(A+2) + B + 13) + C + 13
D         0         C+13         26*(26*(A+2) + B + 13) + C + 13
D         26*(26*(A+2) + B + 13) + C + 13         C+13         26*(26*(A+2) + B + 13) + C + 13
D         C + 13         C+13         26*(26*(A+2) + B + 13) + C + 13
D         C + 13         C+13         26*(A+2) + B + 13
D         C         C+13         26*(A+2) + B + 13
D         C==D         C+13         26*(A+2) + B + 13
D         C!=D         C+13         26*(A+2) + B + 13
D         C!=D         0         26*(A+2) + B + 13
D         C!=D         25         26*(A+2) + B + 13
D         0         0         26*(A+2) + B + 13
D         0         1         26*(A+2) + B + 13
D         0         1         26*(A+2) + B + 13
D         0         0         26*(A+2) + B + 13
D         0         D         26*(A+2) + B + 13
D         0         D+9         26*(A+2) + B + 13
D         0         0         26*(A+2) + B + 13
D         0         0         26*(A+2) + B + 13
E         0         0         26*(A+2) + B + 13
E         0         0         26*(A+2) + B + 13
E         26*(A+2) + B + 13         0         26*(A+2) + B + 13
E         B + 13         0         26*(A+2) + B + 13
E         B + 13         0         26*(A+2) + B + 13
E         B + 23         0         26*(A+2) + B + 13
E         0         0         26*(A+2) + B + 13
